216,医療法人社団 北20条内科クリニック,北海道札幌市北区北20条西6丁目2-10,,011-758-8080,1:2:3:4:5:8:9:11:12
217,リズミック産婦人科クリニック,北海道札幌市北区北22条西5丁目1-32,,011-700-0505,8
218,医療法人社団和仁会 平田内科クリニック,北海道札幌市北区北24条西14丁目3-15,,011-756-2220,8
219,くすのきこどもクリニック,北海道札幌市北区北24条西14丁目3-8, 北24条通メディカルプレイス2階,011-717-0415,1:2:3:4:5:6:7:8:9:10:11:12
220,医療法人社団 さとう小児科医院,北海道札幌市北区北25条西5丁目1-1,,011-756-5007,1:2:3:4:5:6:7:8:9:10:11:12
221,医療法人社団眞明会 今医院,北海道札幌市北区北25条西8丁目2-3,,011-716-9255,1:2:3:4:5:6:7:8:9:10:11:12
222,医療法人社団 小林内科小児科医院,北海道札幌市北区北28条西5丁目2-16,,011-716-8531,1:2:3:4:5:6:7:8:9:10:11:12
223,しもかわ内科・循環器内科,北海道札幌市北区北29条西15丁目3-8,,011-716-1300,11
224,医療法人社団昇英会 整形外科新川駅いとかクリニック,北海道札幌市北区北29条西15丁目3-8,,011-716-1117,10:11
225,医療法人社団慈Th会 小林内科クリニック,北海道札幌市北区北38条西2丁目2-17,,011-709-5885,1:2:3:4:5:6:7:8:9:10:11:12
226,西村外科胃腸科,北海道札幌市北区北40条西4丁目2-1, 麻Thメディカルビル2階,011-757-1560,6:7:8
227,医療法人社団北耀会 あさぶ小児科,北海道札幌市北区北40条西4丁目2-15, 東光ストア麻Th店2階,011-717-3111,1:2:3:4:5:6:7:8:9:10:11:12
228,医療法人 しのろファミリークリニック,北海道札幌市北区篠路2条10丁目12-1,,011-771-2800,1:2:3:4:5:6:7:8:9:10:11:12
229,川島内科胃腸科,北海道札幌市北区篠路2条3丁目5-10,,011-773-8233,8:11
230,医療法人社団篠路こどもクリニック,北海道札幌市北区篠路3条6丁目4-32,,011-776-0776,1:2:3:4:5:6:7:8:9:10:11:12
231,医療法人社団健志会 しのろ駅前医院,北海道札幌市北区篠路4条6丁目11-17,,011-774-8388,1:2:3:4:5:6:7:8:9:10:11:12
232,医療法人社団大黒会 吉田医院,北海道札幌市北区篠路5条5丁目7-1,,011-771-2020,3:6:7:8
233,社会医療法人康和会 札幌しらかば台篠路病院,北海道札幌市北区篠路7条4丁目2-15,,011-773-0711,8
234,医療法人社団 五稜会病院,北海道札幌市北区篠路9条6丁目2-3,,011-771-5660,8
235,横山内科医院,北海道札幌市北区篠路10条2丁目11-22,,011-771-1611,1:2:3:4:5:6:7:8:9:10:11
236,医療法人社団 新川ファミリエ内科,北海道札幌市北区新川3条7丁目1-10-1,,011-763-8118,3:5:8:10:11
237,医療法人アパンド  みみ・はな・のど横浜クリニック,北海道札幌市北区新川3条7丁目1-3,,011-765-4580,6:7:8:10:11
238,玄気堂漢方内科クリニック,北海道札幌市北区新川4条1丁目3-3, ecoa新川クリニックモール2階,011-640-7740,8
239,医療法人社団 中鉢小児クリニック,北海道札幌市北区新川4条10丁目7-13,,011-764-1118,1:2:3:4:5:6:7:9:10:11:12
240,社会医療法人延山会 北成病院,北海道札幌市北区新川西3条2丁目10-1,,011-764-3021,8:11
241,医療法人社団 池田内科,北海道札幌市北区新琴似1条13丁目1-7,,011-764-8833,1:2:3:4:5:6:7:8:9:10:11
242,医療法人社団   どい内科クリニック,北海道札幌市北区新琴似1条3丁目3-13,,011-769-1200,1:3:5:8:10:11:12
243,大沼内科クリニック,北海道札幌市北区新琴似1条8丁目22-17,,011-764-3110,1:2:3:4:5:6:7:8:9:10:11:12
244,飛騨内科クリニック,北海道札幌市北区新琴似2条11丁目7-7,,011-769-8002,3:4:5:6:7:8
245,医療法人社団 阿部内科医院,北海道札幌市北区新琴似3条11丁目7-24,,011-761-2395,1:2:3:4:5:6:7:8:9:10:11:12
246,医療法人研成会 札幌鈴木病院,北海道札幌市北区新琴似3条1丁目1-27,,011-709-5511,
247,のびるこどもクリニック,北海道札幌市北区新琴似5条2丁目1-9,,011-766-2206,1:2:3:4:5:6:7:9:10:11:12
248,医療法人社団 布施川内科医院,北海道札幌市北区新琴似7条14丁目4-23,,011-764-2411,1:2:3:4:5:6:7:8:9:10:11:12
249,医療法人社団 おおさき内科,北海道札幌市北区新琴似7条9丁目6-21,,011-766-0666,3:8:11
250,医療法人社団 横山医院,北海道札幌市北区新琴似8条13丁目1-4,,011-761-2484,1:2:3:4:5:6:7:8:9:10:11:12
251,医療法人社団 新琴似内科クリニック,北海道札幌市北区新琴似8条6丁目1-1,,011-761-1076,8:11
252,勤医協札幌北区ぽぷらクリニック,北海道札幌市北区新琴似10条2丁目1,,011-762-8811,11
253,小児科高橋医院,北海道札幌市北区新琴似10条8丁目3-1,,011-765-3820,1:2:3:4:5:6:7:8:9:10:11:12
254,内科小児科さとう医院,北海道札幌市北区太平10条7丁目2-7,,011-771-5251,1:2:3:4:5:6:7:8:9
255,太平高山内科クリニック,北海道札幌市北区太平12条4丁目8-13,,011-770-2177,3:11
256,ひまわり内科小児科医院,北海道札幌市北区拓北6条2丁目6-18,,011-771-8551,3:4:5:6:7:8:9
257,医療法人社団 こすげ内科医院,北海道札幌市北区屯田2条3丁目8-10,,011-771-6101,3:4:5:11
258,医療法人社団 たちばなこどもクリニック,北海道札幌市北区屯田4条1丁目7-10,,011-773-7377,1:2:3:4:5:6:7:8:9:10:11:12
259,医療法人社団 ふるや内科,北海道札幌市北区屯田4条3丁目2-10,,011-771-2211,1:2:3:4:5:6:7:8:9:10:11
260,医療法人社団 朋佑会札幌産科婦人科,北海道札幌市北区屯田6条2丁目11-1,,011-774-0303,1:2:3:4:5:6:7:8:9:10:11:12
261,医療法人社団 とんでん小児科,北海道札幌市北区屯田6条6丁目5-32,,011-773-6121,1:2:3:4:5:6:7:8:9:10:11:12
262,メディック北札幌,北海道札幌市北区屯田7条3丁目10-15,,011-775-5000,1:3:4:5:6:7:8:9:10:11:12
263,医療法人桃実会   にわ糖尿病・内科クリニック,北海道札幌市北区屯田9条3丁目1-20,,011-790-7900,3:4:5:8
264,医療法人社団 ゆりがはら内科 ケア＆クリニック,北海道札幌市北区百合が原7丁目4-25,,011-770-7111,3:4:5:9
265,医療法人社団 札幌百合の会病院,北海道札幌市北区百合が原11丁目186,,011-771-1501,1:2:3:4:5:6:7:9:10:11:12
266,医療法人社団澪和会 なかの小児科,北海道札幌市清田区美しが丘3条2丁目3-1, コートロティ美しが丘1階,011-881-1505,1:2:3:4:5:6:7:8:9:10:11:12
267,医療法人社団群仁会 保坂内科クリニック,北海道札幌市清田区美しが丘4条5丁目3-15,,011-884-7868,3:4:5:6:7:8:9:10:11
268,北海道医療Th協 札幌緑愛病院,北海道札幌市清田区北野1条1丁目6-30,,011-883-0121,3
269,医療法人社団エス・エス・ジェイ 札幌整形循環器病院,北海道札幌市清田区北野1条2丁目11-30,,011-881-1100,8
270,医療法人 ほし内科消化器科クリニック,北海道札幌市清田区北野3条2丁目13-57,,011-881-5551,3:8:10:11
271,医療法人社団 小野内科医院,北海道札幌市清田区北野5条5丁目15-27,,011-883-8080,1:2:3:4:5:6:7:8:9:10:11:12
272,みき内科消化器きたのクリニック,北海道札幌市清田区北野7条5丁目12-20,,011-887-1771,11
273,さかもと内科消化器クリニック,北海道札幌市清田区清田1条4丁目4-30,,011-888-8181,8
274,医療法人社団 清田ウィメンズクリニック,北海道札幌市清田区清田1条4丁目5-30,,011-886-4103,8
275,医療法人社団 清田小児科医院,北海道札幌市清田区清田1条4丁目5-30, 清田総合医療センタービル1階,011-881-5018,1:2:3:4:5:6:7:8:9:10:11:12
276,医療法人社団 サン内科外科医院,北海道札幌市清田区清田2条1丁目8-1,,011-881-3322,1:2:3:4:5:6:7:8:9:11
277,医療法人社団 鈴木内科医院,北海道札幌市清田区清田4条2丁目10-25,,011-882-2233,3:4:5:10:11
278,医療法人徳洲会  札幌南徳洲会病院,北海道札幌市清田区里塚1条2丁目20-1,,011-883-0602,11
279,社会医療法人 札幌清田病院,北海道札幌市清田区真栄1条1丁目1-1,,011-883-6111,8:11
280,医療法人北武会 美しが丘病院,北海道札幌市清田区真栄61番地1,,011-883-8881,6:7:8:11
281,医療法人社団恒仁会 ひらおか公園小児科,北海道札幌市清田区平岡2条5丁目2, イオンタウン平岡,011-888-6000,1:2:3:4:5:6:7:8:9:10:11:12
282,医療法人社団一揚会  あだち内科クリニック,北海道札幌市清田区平岡6条2丁目2-10,,011-886-3338,8:11
283,医療法人社団 みずきこどもクリニック,北海道札幌市清田区平岡6条2丁目2-10,,011-886-9777,1:2:3:4:5:6:7:8:9:10:11:12
284,医療法人社団 ひらおか内科胃腸科,北海道札幌市清田区平岡6条3丁目10-1,,011-885-2110,1:2:3:4:5:6:7:8:9:10:11
285,医療法人社団 平岡公園整形外科・消化器科クリニック,北海道札幌市清田区平岡公園東1丁目12-12,,011-888-8808,8
286,医療法人社団 すえおかこどもクリニック,北海道札幌市清田区平岡公園東5丁目12-10, メディカルビル平岡公園東1階,011-888-1515,1:2:3:4:5:6:7:8:9:10:11:12
287,ふじた内科循環器クリニック,北海道札幌市清田区平岡公園東5丁目12-10, メディカルビル平岡公園東2階,011-888-7272,8:9:11
288,医療法人社団延寿会  阿部内科クリニック,北海道札幌市南区石山1条7丁目7-7,,011-592-0077,9:11
289,医療法人社団信洋会 石山メンタルクリニック,北海道札幌市南区石山2条8丁目2-12,,011-591-7167,3
290,医療法人社団 竹嶋内科クリニック,北海道札幌市南区石山東1丁目4-26,,011-591-1112,3
291,医療法人社団 芸術の森泌尿器科,北海道札幌市南区石山東3丁目1-31,,011-591-8686,12
292,医療法人社団 もいわ内科医院,北海道札幌市南区川沿1条3丁目3-25,,011-571-5561,1:2:3:4:5:6:7:8:9:10:11:12
293,医療法人為久会  札幌共立五輪橋病院,北海道札幌市南区川沿2条1丁目2-54,,011-571-8221,9:11
294,医療法人社団もなみ もなみクリニック,北海道札幌市南区川沿5条3丁目2-1,,011-578-5775,8
295,医療法人社団 川沿中央医院,北海道札幌市南区川沿5条3丁目2-3,,011-571-7821,6:7:8:9:11:12
296,ほりえ内科クリニック,北海道札幌市南区川沿8条2丁目1-8, 吉田ビル1階,011-571-6532,3:8:9:10:11:12
297,おおさわ小児科医院,北海道札幌市南区川沿8条2丁目1-8, 吉田ビル3階,011-571-5001,1:2:3:4:5:6:7:8:9:10:11:12
298,なかの内科・消化器内科クリニック,北海道札幌市南区川沿14条2丁目1-3,,011-571-0725,8
299,あまみや小児科医院,北海道札幌市南区澄川3条2丁目4-15, 澄川メディカル1F,011-831-5300,1:2:3:4:5:6:7:8:9:10:12
300,酒井内科消化器科クリニック,北海道札幌市南区澄川3条3丁目4-12,,011-831-0820,3:4:5:8
301,医療法人一光会 幸内科クリニック,北海道札幌市南区澄川4条6丁目7-35,,011-837-7320,1:2:3:4:5:6:7:8:9:10:11:12
302,医療法人社団千寿会 千秋内科医院,北海道札幌市南区澄川6条4丁目11-7,,011-812-8111,1:2:3:4:5:6:7:8:9:10:11:12
303,たむら内科クリニック,北海道札幌市南区澄川6条7丁目3-5,,011-583-1161,1:2:3:4:5:9
304,医療法人社団 はまだ内科・神経内科クリニック,北海道札幌市南区中ノ沢1丁目1-4,,011-578-1535,3:4:5:6:7:8:9:10:11
305,ふじのさわ内科クリニック,北海道札幌市南区藤野2条2丁目1-15,,011-591-8416,8
306,十五島内科医院,北海道札幌市南区藤野2条6丁目1-5,,011-591-8828,8
307,社会医療法人康和会 札幌しらかば台南病院,北海道札幌市南区藤野2条11丁目7-1,,011-596-2621,8:11
308,医療法人大地 小笠原クリニック藤野診療所,北海道札幌市南区藤野3条6丁目2-1コープさっぽろ藤野店2階,,011-592-5335,11
309,医療法人社団 板倉小児クリニック,北海道札幌市南区藤野3条7丁目1-1,,011-591-0611,1:2:3:4:5:6:7:8:9:10:11:12
310,医療法人社団FOUR SEASONS 真駒内たかの内科,北海道札幌市南区真駒内泉町3丁目11-9,,011-588-8777,8
311,医療法人社団 真駒内キッズクリニック,北海道札幌市南区真駒内上町1丁目1-25, グリーンプラザ真駒内公園ビル1階,011-582-8884,1:2:3:4:5:6:7:8:9:10:11:12
312,医療法人社団 阿部小児科医院,北海道札幌市南区真駒内緑町1丁目3-10,,011-582-0512,1:2:3:4:5:6:7:8:9:10:11:12
313,露口内科・消化器内科クリニック,北海道札幌市南区真駒内南町1丁目7-12,,011-582-0811,3:5:6:7:8:11:12
314,中根敏得リハビリテーション内科小児科医院,北海道札幌市南区南32条西10丁目2-1,,011-582-3131,3:4:5:9
315,医療法人礼風会 五輪橋マタニティクリニック,北海道札幌市南区南39条西11丁目1-30,,011-585-3110,1:2:3:4:5:6:7:8:9:10:11:12
316,中村小児科医院,北海道札幌市西区琴似1条2丁目5-6, 琴似一番館,011-642-1650,1:2:3:4:5:6:7:8:9:10:11:12
317,医療法人社団 森谷内科クリニック,北海道札幌市西区琴似1条4丁目2-20,,011-643-6533,8:11
318,まきぐち内科・循環器科クリニック,北海道札幌市西区琴似1条4丁目4-20, 笹川ビル3階,011-618-1333,8
319,医療法人社団慈昂会 琴似駅前内科クリニック,北海道札幌市西区琴似2条1丁目1-20, 琴似タワープラザ2階,011-622-3531,8:11
320,医療法人社団 ともこレディースクリニック,北海道札幌市西区琴似2条1丁目1-20, 琴似タワープラザ2階,011-641-8181,8
321,医療法人社団 琴似産科婦人科クリニック,北海道札幌市西区琴似2条3丁目2-30,,011-612-5611,8
322,医療法人社団 琴似小児科クリニック,北海道札幌市西区琴似2条3丁目2-30,,011-641-7551,1:2:3:4:5:6:7:8:9:10:11:12
323,ことに内科クリニック,北海道札幌市西区琴似2条4丁目2-1,,011-633-1717,8
324,医療法人社団 坂本医院,北海道札幌市西区琴似2条4丁目3-10,,011-621-0808,8
325,おおた内科クリニック,北海道札幌市西区琴似2条5丁目1-3, 北幸ビル2階,011-643-5311,11
326,医療法人社団友善会 琴似ファミリークリニック,北海道札幌市西区琴似4条2丁目1番2号,  コルテナⅡ  1階,011-612-0333,10:11
327,医療法人社団 北浜胃腸科・内科,北海道札幌市西区西野2条4丁目3-15,,011-663-3311,3:11
328,医療法人社団杏仁会 近内科クリニック,北海道札幌市西区西野3条2丁目1-38,,011-664-3611,1:2:3:4:5:6:7:9:10:11:12
329,医療法人社団 細田こどもクリニック,北海道札幌市西区西野3条6丁目2-7,,011-667-8830,1:2:3:4:5:6:7:8:9:10:11:12
330,医療法人社団 石塚内科消化器科,北海道札幌市西区西野3条7丁目3-1,,011-661-0403,1:2:3:4:5:6:7:8:9:10:11
331,医療法人社団 後藤田医院,北海道札幌市西区西野3条9丁目10-37,,011-663-8170,1:2:3:4:5:6:7:8:9:10:11:12
332,医療法人にしの内科クリニック,北海道札幌市西区西野5条2丁目8-37,,011-788-6726,3:11
333,医療法人社団 西野六条クリニック,北海道札幌市西区西野6条7丁目1-1,,011-663-3651,3:8:10:11
334,医療法人社団法真会 ひしかわ内科クリニック,北海道札幌市西区西野8条8丁目1-1,,011-667-3336,1:2:3:4:5:6:7:8:9:10:11
335,医療法人社団啓愛会 西さっぽろ小児科,北海道札幌市西区西町北7丁目2-11, 西さっぽろメディカル2階,011-661-4211,1:2:3:4:5:6:7:8:9:10:11:12
336,医療法人社団糖仁会 あべ内科クリニック,北海道札幌市西区西町北7丁目2-11, 西さっぽろメディカル3階,011-666-7301,8
337,医療法人社団 札幌西レディースクリニック,北海道札幌市西区西町北11丁目1-5,,011-661-3535,8
338,勤医協西区ひだまりクリニック,北海道札幌市西区西町北19丁目1-3,,011-671-5115,11
339,医療法人社団 宮の沢レディースクリニック,北海道札幌市西区西町北20丁目2-12, SR宮の沢メディカルⅡビル2階,011-666-0050,8
340,医療法人社団 松永内科クリニック,北海道札幌市西区西町北20丁目3-10, SR宮の沢メディカルビル3階,011-669-3666,8:11
341,医療法人 宮の沢小池こどもクリニック,北海道札幌市西区西町北20丁目3-10, SR宮の沢メディカルビル3階,011-669-5551,1:2:3:4:5:6:7:8:9:10:11:12
342,医療法人社団 小児科西町クリニック,北海道札幌市西区西町南5丁目13,,011-663-3223,1:2:3:4:5:6:7:8:9:10:11:12
343,藤屋医院,北海道札幌市西区二十四軒3条5丁目4-28,,011-621-7260,8
344,琴似ハート内科・透析クリニック,北海道札幌市西区二十四軒4条2丁目9-10,,011-688-8810,9
345,社会医療法人孝仁会 札幌第一病院,北海道札幌市西区二十四軒4条3丁目4-26,,011-611-6201,11
346,医療法人新産健会 ことに・メディカル・サポート・クリニック,北海道札幌市西区八軒1条西1丁目2-10, ザ・タワープレイス1階,011-631-3101,3:8:11
347,医療法人親和 すずらん小児科,北海道札幌市西区八軒1条西1丁目2-10, ザ・タワープレイス1階,011-633-8088,1:2:3:4:5:6:7:8:9:10:11:12
348,洞田内科クリニック,北海道札幌市西区八軒1条西1丁目2-10, ザ・タワープレイス2階,011-632-0255,8
349,医療法人社団明Th会 イムス札幌消化器中央総合病院,北海道札幌市西区八軒2条西1丁目1-1,,011-611-1391,12
350,医療法人社団 カワカミウイメンズクリニック,北海道札幌市西区八軒5条東1丁目6-19,,011-641-6507,8
351,つちだ消化器循環器内科,北海道札幌市西区八軒7条西3丁目1-1,,011-640-5532,1:2:3:4:5:6:7:8:9:10:11:12
352,ゆきのかなでクリニック,北海道札幌市西区八軒10条西12丁目4-8,,011-213-9351,12
353,医療法人札幌がんフォレスト 癒しの森内科・消化器内科クリニック,北海道札幌市西区発寒2条5丁目6-5,,011-668-1184,8
354,医療法人社団 いとう内科・胃腸科,北海道札幌市西区発寒4条4丁目1-18,,011-661-1000,8
355,医療法人聖愛会 発寒中央病院,北海道札幌市西区発寒5条6丁目10-1,,011-661-2111,1:2:3:4:5:6:7:8:9:10:11:12
356,医療法人社団 はねだ内科クリニック,北海道札幌市西区発寒6条3丁目2-10,,011-666-2227,6:7:8:10:11
357,内科・消化器内科 Ｋクリニック,北海道札幌市西区発寒6条9丁目2-15, ニッセ宮の沢2階,011-667-7007,11
358,医療法人社団 いなべ医院,北海道札幌市西区発寒6条11丁目7-18,,011-662-1389,1:2:3:4:5:6:7:9
359,医療法人社団宮の沢総合クリニック,北海道札幌市西区発寒6条13丁目1-22,,011-671-7710,8
360,かなや内科クリニック,北海道札幌市西区発寒7条12丁目3-46, 発寒クリニックビル1F,011-669-6000,11
361,医療法人社団 ふるた小児科クリニック,北海道札幌市西区発寒11条1丁目10-75,,011-671-1188,1:2:3:4:5:6:7:8:9:10:11:12
362,医療法人社団 鉄工団地診療所,北海道札幌市西区発寒12条5丁目3-20,,011-661-1261,1:2:3:4:5:6:7:8:9:10:11:12
363,医療法人社団 太田内科歯科,北海道札幌市西区発寒13条3丁目7-45,,011-664-6780,8
364,医療法人社団 百石内科循環器クリニック,北海道札幌市西区福井2丁目3-16,,011-663-3885,1:2:3:4:5:6:7:8:9:10:11:12
365,医療法人社団 首藤内科,北海道札幌市西区平和1条4丁目1-7,,011-664-3737,6:7:8:12
366,クリニックもりや,北海道札幌市西区宮の沢1条1丁目1-3,,011-669-8003,3:4:5:6:7:8:9:12
367,社会医療法人孝仁会札幌西孝仁会クリニック,北海道札幌市西区宮の沢1条1丁目1-30,,011-590-0322,8
368,医療法人社団 にこにこ小児科クリニック,北海道札幌市西区宮の沢1条4丁目7-20, 輪島ビル2階,011-667-3311,1:2:4:5:6:7:8:9:10:11:12
369,医療法人社団 ひろ内科循環器科クリニック,北海道札幌市西区宮の沢3条5丁目24-10,,011-671-2727,3:5:8
370,ため小児科医院,北海道札幌市西区山の手2条1丁目6-14,,011-611-3718,1:2:3:4:5:6:7:8:9:10:11:12
371,みずしま内科クリニック,北海道札幌市西区山の手2条6丁目3-8,,011-632-6600,1:2:3:4:5:6:7:8:9:10:12
372,クリニークアンジェ牧山内科,北海道札幌市西区山の手3条12丁目1-34,,011-632-0123,3:5:6:7:8:9:10:11
373,独立行政法人国立病院機構 北海道医療センター,北海道札幌市西区山の手5条7丁目1-1,,011-611-8111,1:2:3:4:5:6:7:8:9:10:11:12
374,医療法人 札幌山の上病院,北海道札幌市西区山の手6条9丁目1-1,,011-621-1200,11
375,医療法人社団栄仁会 栄通わたなべ内科皮ふ科,北海道札幌市白石区栄通8丁目2-1,,011-858-3311,8
376,医療法人社団 小路内科消化器クリニック,北海道札幌市白石区栄通15丁目9-35,,011-853-1331,1:2:3:4:5:6:7:8:9:10:11:12
377,協全内科クリニック,北海道札幌市白石区栄通17丁目13-13,,011-852-3181,1:2:3:4:5:6:7:9:10:11:12
378,医療法人社団 やまうち内科クリニック,北海道札幌市白石区栄通19丁目1-1,,011-851-5600,1:2:3:4:5:6:7:8:12
379,医療法人孝友会 ごう内科クリニック,北海道札幌市白石区栄通21丁目1-16,,011-850-5050,3:4:5:8:9
380,なかの耳鼻咽喉科医院,北海道札幌市白石区栄通21丁目1-16, 丁目22-35,011-854-4133,9
381,医療法人社団 大屋医院,北海道札幌市白石区川下2条7丁目2-5,,011-873-1123,1:2:3:4:5:6:7:8:9:10:11:12
382,医療法人菊郷会 石橋胃腸病院,北海道札幌市白石区川下3条4丁目2-1,,011-872-5811,8
383,川下ばく内科,北海道札幌市白石区川下4条5丁目4-14,,011-374-4389,1:2:3:4:5:6:7:8:9:10:11:12
384,社会福祉法人北翔会 札幌あゆみの園,北海道札幌市白石区川北2254番地1,,011-879-5555,1:2:3:4:5:6:7:8:9:10:11:12
385,医療法人社団 川北内科循環器科医院,北海道札幌市白石区川北2条3丁目2-25,,011-872-4533,1:2:3:4:5:6:7:8:9:10:11:12
386,医療法人社団 木村医院,北海道札幌市白石区菊水1条1丁目3-33,,011-811-4403,6:7:8
387,菊水内科循環器クリニック,北海道札幌市白石区菊水3条2丁目4-1ニューギン札幌ビル２F,,011-827-6688,11
388,勤医協札幌病院,北海道札幌市白石区菊水4条1丁目9-22,,011-811-2246,1:2:3:4:5:6:7:8:9:10:11:12
389,独立行政法人国立病院機構 北海道がんセンター,北海道札幌市白石区菊水4条2丁目3-54,,011-811-9111,8
390,みなみハート内科クリニック,北海道札幌市白石区菊水6条2丁目1-34, シュタットハウス札幌1階,011-818-3737,1:2:3:4:5:6:7:8:9:10:11:12
391,中島内科胃腸科クリニック,北海道札幌市白石区菊水上町1条3丁目36,,011-811-2726,1:2:3:4:5:6:7:8:9:11
392,医療法人社団  みんなのこどもクリニック,北海道札幌市白石区菊水元町5条2丁目2-4, Ucラポール1F,011-876-1717,1:2:3:4:5:6:7:8:9:10:11:12
393,医療法人社団薫風会 青空たけうち内科クリニック,北海道札幌市白石区菊水元町5条2丁目2-40,,011-872-3558,1:2:3:4:5:6:7:8:9:10:11:12
394,医療法人菊郷会 札幌センチュリー病院,北海道札幌市白石区菊水元町5条3丁目5-10,,011-871-1121,8
395,医療法人社団 野村内科医院,北海道札幌市白石区北郷2条1丁目2-4,,011-873-3476,3:8
396,医療法人社団 まつもと小児科,北海道札幌市白石区北郷2条4丁目3-5, 北郷メディカルビル2階,011-871-2277,1:2:3:4:5:6:7:8:9:10:11:12
397,北郷医院,北海道札幌市白石区北郷3条5丁目13-1,,011-873-1960,3:4:5:8:9:10:11
398,医療法人社団日吉会 そねざき内科小児科医院,北海道札幌市白石区北郷3条7丁目1-15,,011-873-2227,1:2:3:4:5:6:7:8:9:10:11:12
399,医療法人社団誠医会 よつばクリニック,北海道札幌市白石区東札幌1条2丁目1-3,,011-825-1055,8
400,医療法人社団毬会 内科丹田クリニック,北海道札幌市白石区東札幌4条1丁目1-1, イーアス札幌Bタウン2階,011-817-1188,8:11
401,医療法人社団 きよみず公園クリニック,北海道札幌市白石区東札幌4条3丁目6-1,,011-813-6311,1:3:4:5:6:7:9:10:11:12
402,医療法人社団 響 さくら内科クリニック,北海道札幌市白石区東札幌4条4丁目1-18,  2階,011-817-2171,1:2:3:4:5:6:7:8:12
403,川端医院,北海道札幌市白石区東札幌5条4丁目3-2,,011-831-2702,1:2:3:4:5:6:7:8:9:10:11:12
404,医療法人社団明日佳 白石明日佳病院,北海道札幌市白石区東札幌5条5丁目2-5,,011-823-5151,10:11
405,医療法人社団明珠会 札幌白石産科婦人科病院,北海道札幌市白石区東札幌5条6丁目6-28,,011-862-7211,8
406,社会医療法人北楡会 札幌北楡病院,北海道札幌市白石区東札幌6条6丁目5-1,,011-865-0111,1:2:3:4:5:6:7:8:9:10:11:12
407,医療法人社団智愛会 なかた小児科,北海道札幌市白石区南郷通1丁目北1-1, 白石メディカル2階,011-864-8668,1:2:3:4:5:6:7:8:9:10:11:12
408,医療法人社団 白石こどもクリニック,北海道札幌市白石区南郷通2丁目北2-1, ル・ノール南郷街,011-865-7302,1:2:3:4:5:6:7:8:9:10:12
409,北海道医療Th協 緑愛クリニック,北海道札幌市白石区南郷通6丁目北3-24,,011-868-8866,3:5:8
410,秀愛会内科消化器科クリニック,北海道札幌市白石区南郷通8丁目南5-1, 第2タヂカビル1階,011-860-7676,3:4:5:8
411,医療法人社団 山中たつる小児科,北海道札幌市白石区南郷通11丁目南3-9,,011-866-5555,1:2:3:4:5:6:7:8:9:10:11:12
412,医療法人社団清香会 おおしま内科・胃腸科クリニック,北海道札幌市白石区南郷通18丁目北3-28,,011-866-5511,1:2:3:4:5:6:7:8:9:10:11:12
413,ＥＶＥウィミンズクリニック,北海道札幌市白石区南郷通21丁目南5-41,,011-866-0808,1:2:3:4:5:6:7:8:9:10:11:12
414,医療法人 白石中央病院,北海道札幌市白石区平和通3丁目北2-3,,011-861-8171,3:4:5:6:7:8:9
415,勤医協平和通りクリニック,北海道札幌市白石区平和通7丁目南5-1,,011-864-0912,12
416,医療法人社団 ひらい内科小児科,北海道札幌市白石区平和通9丁目南3-1,,011-861-5122,1:2:3:4:5:6:7:8:9:10:11:12
417,医療法人社団佐分利内科医院,北海道札幌市白石区本郷通10丁目南1-23,,011-864-1751,8
418,医療法人社団 みどり内科クリニック,北海道札幌市白石区本郷通13丁目南4-27, ムトウビル2階,011-866-4563,10:11
419,医療法人社団 渡辺一彦小児科医院,北海道札幌市白石区本通（南）1丁目南1-13,,011-865-8688,1:3:4:5:6:7:8:9:10:11:12
420,医療法人社団慈昂会 白石内科クリニック,北海道札幌市白石区中央1条7丁目10-30白石中央メディカルビル１Ｆ,,011-868-2711,8:10:11
421,医療法人信佑会 吉田記念病院,北海道札幌市白石区本通2丁目南5-10,,011-864-2125,3:8:11
422,医療法人社団 広川内科クリニック,北海道札幌市白石区本通3丁目南2-38,,011-861-2026,3:4:5:6:8:11
423,松田内科循環器クリニック,北海道札幌市白石区本通8丁目南1-30,,011-867-8000,6:7:8:11:12
424,内科胃腸科クリニック長尾医院,北海道札幌市白石区本通（南）11丁目南1-9,,011-861-4696,3:4:5:8:10:11
425,医療法人社団 小川医院,北海道札幌市白石区本通16丁目北11-14,,011-864-7995,1:2:3:4:5:6:7:8:9:10:11:12
426,医療法人社団恵幼会 わたなべ小児科・アレルギー科クリニック,北海道札幌市手稲区曙1条1丁目1-25,,011-699-1000,1:2:3:4:5:6:7:8:9:10:11:12
427,社会医療法人延山会 西成病院,北海道札幌市手稲区曙2条2丁目2-27,,011-681-9321,8
428,医療法人社団喜倜会 おちあい内科・消化器内科医院,北海道札幌市手稲区曙4条3丁目17-21,,011-685-5858,5:8:11
429,さかいの小児科,北海道札幌市手稲区曙6条2丁目2-16,,011-691-9131,1:2:3:4:5:6:7:8:9:10:11:12
430,医療法人社団 手稲あけぼのレディースクリニック,北海道札幌市手稲区曙6条2丁目2-10,,011-695-4103,8
431,医療法人明日風こどもクリニック,北海道札幌市手稲区明日風5丁目9-1,,011-685-0122,1:2:3:4:5:6:7:8:9:10:11:12
432,医療法人社団 上原内科クリニック,北海道札幌市手稲区稲穂1条7丁目2-21,,011-681-7070,3:8
